Date,"Crashes (Per interval, Daily): All Android versions","Crashes (Per interval, Daily): Android 14","Crashes (Per interval, Daily): Android 15","Crashes (Per interval, Daily): Android 8.1","Crashes (Per interval, Daily): Android 12",Notes
18 Feb 2025,88,29,0,1,12,
19 Feb 2025,88,23,6,1,17,
20 Feb 2025,84,33,1,4,12,
21 Feb 2025,93,31,0,2,8,
22 Feb 2025,52,14,0,3,8,
23 Feb 2025,49,17,0,2,3,
24 Feb 2025,63,16,1,1,11,
25 Feb 2025,91,29,0,5,14,
26 Feb 2025,88,24,1,6,11,
27 Feb 2025,107,23,4,1,24,
28 Feb 2025,80,26,2,0,17,
1 Mar 2025,89,31,2,0,20,
2 Mar 2025,82,19,1,6,16,
3 Mar 2025,81,28,8,2,4,
4 Mar 2025,74,27,4,0,4,
5 Mar 2025,71,25,1,2,15,
6 Mar 2025,80,31,2,4,4,
7 Mar 2025,92,17,4,1,11,
8 Mar 2025,65,18,3,1,8,
9 Mar 2025,54,24,0,0,7,
10 Mar 2025,54,18,1,1,10,
11 Mar 2025,80,30,6,4,7,
12 Mar 2025,69,22,0,0,10,
13 Mar 2025,93,37,3,4,9,
14 Mar 2025,64,22,0,1,7,
15 Mar 2025,61,13,2,7,4,
16 Mar 2025,60,17,0,3,0,
17 Mar 2025,65,18,1,2,4,
18 Mar 2025,65,19,1,3,9,
19 Mar 2025,79,11,1,5,10,
20 Mar 2025,90,29,4,9,3,
21 Mar 2025,76,30,1,7,5,
22 Mar 2025,77,29,0,15,7,
23 Mar 2025,64,26,0,5,3,
24 Mar 2025,69,21,2,6,8,
25 Mar 2025,78,31,4,4,5,
26 Mar 2025,61,10,4,2,8,
27 Mar 2025,82,22,10,2,12,
28 Mar 2025,80,29,4,3,8,
29 Mar 2025,58,8,3,14,9,
30 Mar 2025,36,15,2,2,4,
31 Mar 2025,48,17,4,1,3,
1 Apr 2025,68,17,3,4,6,
2 Apr 2025,73,14,1,11,8,
3 Apr 2025,90,18,8,2,12,
4 Apr 2025,67,24,3,2,7,
5 Apr 2025,65,21,2,3,14,
6 Apr 2025,86,18,3,5,10,
7 Apr 2025,88,39,2,6,10,
8 Apr 2025,68,22,3,3,6,
9 Apr 2025,75,24,8,8,8,
10 Apr 2025,111,52,6,21,4,
11 Apr 2025,94,42,2,7,14,
12 Apr 2025,72,34,0,4,8,
13 Apr 2025,66,20,0,6,7,
14 Apr 2025,80,33,0,5,11,
15 Apr 2025,89,42,2,8,9,
16 Apr 2025,92,31,6,9,11,
17 Apr 2025,91,28,2,13,14,
18 Apr 2025,80,23,1,4,15,
19 Apr 2025,84,36,3,5,10,
20 Apr 2025,87,45,5,4,8,
21 Apr 2025,73,19,1,3,17,
22 Apr 2025,92,30,5,10,10,
23 Apr 2025,80,32,1,4,12,
24 Apr 2025,78,22,8,1,11,
25 Apr 2025,69,21,4,0,12,
26 Apr 2025,58,14,1,1,10,
27 Apr 2025,70,25,8,4,6,
28 Apr 2025,99,17,12,26,19,
29 Apr 2025,63,18,4,12,6,
30 Apr 2025,99,39,3,9,8,
1 May 2025,76,28,6,1,10,
2 May 2025,83,26,1,15,11,
3 May 2025,102,26,2,9,18,
4 May 2025,87,31,3,1,14,
5 May 2025,97,31,5,2,20,
6 May 2025,127,41,4,7,22,
7 May 2025,134,39,8,25,31,
8 May 2025,121,50,3,6,24,
9 May 2025,88,37,3,6,10,
10 May 2025,103,36,2,6,13,
11 May 2025,80,30,3,10,9,
12 May 2025,97,32,6,1,8,
13 May 2025,117,47,4,13,18,
14 May 2025,89,40,3,2,14,
15 May 2025,97,34,2,7,14,
16 May 2025,89,37,2,0,17,
17 May 2025,75,27,0,0,17,
18 May 2025,60,26,0,0,5,
19 May 2025,95,38,3,2,11,
20 May 2025,64,20,1,0,9,
21 May 2025,116,36,6,7,11,
22 May 2025,98,38,3,1,8,
23 May 2025,77,32,10,3,5,
24 May 2025,83,42,1,6,7,
25 May 2025,61,19,1,2,12,
26 May 2025,80,28,3,8,12,
27 May 2025,90,34,4,6,6,
28 May 2025,94,28,2,3,12,
29 May 2025,63,17,1,2,11,
30 May 2025,96,34,8,3,12,
31 May 2025,61,26,1,5,2,
1 Jun 2025,78,30,1,1,14,
2 Jun 2025,72,30,3,4,7,
3 Jun 2025,80,31,0,3,3,
4 Jun 2025,64,25,3,3,6,
5 Jun 2025,69,21,1,1,6,
6 Jun 2025,59,34,3,1,4,
7 Jun 2025,84,40,1,0,14,
8 Jun 2025,62,19,2,4,17,
9 Jun 2025,68,25,6,0,5,
10 Jun 2025,52,15,1,4,10,
11 Jun 2025,94,27,2,3,6,
12 Jun 2025,90,25,4,0,25,
13 Jun 2025,56,24,1,0,10,
14 Jun 2025,75,28,1,3,9,
15 Jun 2025,85,33,3,1,10,
16 Jun 2025,85,30,6,10,8,
17 Jun 2025,61,14,3,5,10,
18 Jun 2025,61,25,2,4,7,
19 Jun 2025,61,18,0,8,10,
20 Jun 2025,49,18,6,1,7,
21 Jun 2025,69,18,5,2,2,
22 Jun 2025,53,23,1,2,11,
23 Jun 2025,62,10,7,9,9,
24 Jun 2025,68,12,1,4,16,
25 Jun 2025,73,25,3,1,7,
26 Jun 2025,76,26,4,2,11,
27 Jun 2025,64,17,6,3,4,
28 Jun 2025,65,21,2,1,3,
29 Jun 2025,75,32,2,3,10,
30 Jun 2025,68,30,8,3,6,
1 Jul 2025,73,30,7,1,9,
2 Jul 2025,75,39,4,3,5,
3 Jul 2025,40,14,0,1,11,
4 Jul 2025,44,22,2,0,10,
5 Jul 2025,64,34,2,3,5,
6 Jul 2025,88,22,1,4,4,
7 Jul 2025,56,28,2,1,2,
8 Jul 2025,59,19,1,3,9,
9 Jul 2025,75,34,6,5,9,
10 Jul 2025,52,13,1,6,2,
11 Jul 2025,147,27,10,0,74,
12 Jul 2025,54,13,5,3,4,
13 Jul 2025,51,17,2,0,4,
14 Jul 2025,41,22,1,2,2,
15 Jul 2025,88,55,6,3,8,
16 Jul 2025,97,36,6,6,13,
17 Jul 2025,76,21,14,8,4,
18 Jul 2025,59,10,7,4,7,
19 Jul 2025,113,69,5,7,4,
20 Jul 2025,84,26,23,5,9,
21 Jul 2025,47,10,9,3,0,
22 Jul 2025,39,9,8,0,2,
23 Jul 2025,43,12,4,0,5,
24 Jul 2025,86,43,10,1,8,
25 Jul 2025,50,19,10,0,4,
26 Jul 2025,50,20,5,0,4,
27 Jul 2025,66,22,14,1,4,
28 Jul 2025,47,13,8,2,4,
29 Jul 2025,39,17,3,0,4,
30 Jul 2025,49,17,10,0,5,
31 Jul 2025,67,29,5,0,4,
1 Aug 2025,53,24,7,2,1,
2 Aug 2025,54,15,10,4,1,
3 Aug 2025,56,25,8,1,3,
4 Aug 2025,56,19,8,4,4,
5 Aug 2025,74,24,8,6,7,
6 Aug 2025,53,19,11,2,1,
7 Aug 2025,49,20,3,0,7,
8 Aug 2025,74,31,4,0,7,
9 Aug 2025,46,18,3,0,6,
10 Aug 2025,54,21,3,0,1,
11 Aug 2025,40,12,2,1,2,
12 Aug 2025,60,26,6,0,6,
13 Aug 2025,52,20,5,0,5,
14 Aug 2025,77,26,12,0,3,
15 Aug 2025,88,35,13,0,3,
16 Aug 2025,63,17,16,0,5,
17 Aug 2025,61,25,6,0,2,
18 Aug 2025,58,25,1,1,6,
19 Aug 2025,44,16,7,2,4,
20 Aug 2025,56,8,39,0,1,
21 Aug 2025,62,11,8,5,10,
22 Aug 2025,46,7,3,1,11,
23 Aug 2025,52,26,2,2,1,
24 Aug 2025,49,17,13,4,2,
25 Aug 2025,39,15,3,0,2,
26 Aug 2025,55,31,6,1,2,
27 Aug 2025,58,22,9,1,8,
28 Aug 2025,67,21,8,2,7,
29 Aug 2025,50,17,6,0,10,
30 Aug 2025,82,26,12,8,7,
31 Aug 2025,64,22,18,1,0,
1 Sept 2025,48,28,7,1,3,
2 Sept 2025,44,8,7,11,9,
3 Sept 2025,44,17,10,1,6,
4 Sept 2025,59,28,9,5,4,
5 Sept 2025,48,21,17,2,2,
